Referencia;Nombre;Disponible;Mínimo;Margen;Coste;Precio
PH 8130-OUT;Punto acceso exterior PHASAK Starkey 54Mbp - caja dañada produto ok;2;0;8,96;98,00;105,38
PH 8250;Tarjeta PCMCIA cardbus PHASAK WiFi 802.11g 54 Mbps;26;0;14,86;13,24;15,40
PH 8200;Tarjeta de red PCMCIA PHASAK Wireless 11 Mbps;21;0;14,96;42,22;49,09
PH 8119;Router Wireless PHASAK switch 4p +1p WAN 54Mbp;23;0;21,00;55,50;65,29
PH 8210-OUT;Wireless Phasak USB adaptador - Caja Dañada - Producto OK;12;0;24,96;20,07;25,41
PH 9201;PDU 8 tomas IEC 320 C-13 Smart Rack 1u 19";1;0;28,95;40,00;50,63
PH 7312-RA+;S.A.I. Phasak SIRIUS Recondicionado "Grado A+" 1260VA Interactive;1;0;28,99;37,46;47,42
PH 9220-RB;S.A.I. Phasak Gate Pro Recondicionado "Grado B"  2000 VA Online LCD;1;0;28,99;83,12;105,22
PH 8030-RA+;S.A.I. Phasak Conqueror Recondicionado "Grado A+"  Pro 3000 VA ONLINE LCD;1;0;29,00;177,00;224,05
PH 8210;Adaptador PHASAK USB a red Wireless 11 Mbps;56;0;31,97;2,00;2,74
PH 7322-RA;S.A.I. Phasak SIRIUS Recondicionado "Grado A"  2260VA Interactive;1;0;33,99;50,00;68,49
PH 7266;S.A.I. Phasak OTTIMA  660VA Interactive;174;1355;34,97;20,99;31,01
PH 9420;S.A.I. PHASAK 2000 VA LCD táctil USB+RJ45;150;244;34,99;73,48;108,57
PH 7288;S.A.I. Phasak OTTIMA  860VA Interactive;227;344;34,99;28,19;41,65
PH 9330;S.A.I. PHASAK Online Rack 19" 3000 VA LCD ;36;51;35,00;378,28;558,92
PH 9410;S.A.I. PHASAK 1000 VA LCD táctil USB+RJ45;277;280;36,00;45,70;68,58
PH 9408;S.A.I. PHASAK  BASIC Interactive 800 VA;867;703;36,98;28,52;43,48
PH 9406;S.A.I. PHASAK  BASIC Interactive 600 VA.;2142;1081;36,99;22,87;34,86
PH 7210;S.A.I. Phasak OTTIMA 1060VA Interactive;50;198;36,99;38,20;58,23
PH 7322;S.A.I. Phasak SIRIUS 2260VA Interactive;96;139;37,00;77,20;117,69
PH 9485;S.A.I. PHASAK  850 VA LCD  USB+RJ;768;384;37,99;40,08;62,09
PH 7512;S.A.I. Phasak PROTEKT-Rack 1260 V.A. Interactive Pure Sinewave;33;30;37,99;112,08;173,62
PH 9315;S.A.I. PHASAK Online Rack 19" 1500 VA LCD;147;74;38,00;237,18;367,40
PH 7521;S.A.I. Phasak PROTEKT-Rack 2160 V.A. Interactive Pure Sinewave;84;43;38,00;124,26;192,48
PH 7530;S.A.I. Phasak PROTEKT-Rack 3060 V.A.  Interactive Pure Sinewave;48;25;38,00;171,06;264,98
PH 7621;S.A.I. Phasak PROTEKT 2160 VA Interactive Pure Sinewave;25;50;38,00;106,12;164,38
PH 7631;S.A.I. Phasak PROTEKT 3160VA Interactive Pure Sinewave;43;25;39,00;193,75;305,05
PH 9464;S.A.I. PHASAK  600 VA LCD táctil USB + RJ45;390;195;39,99;26,87;43,01
PH 9301;S.A.I. Phasak Pro-Rack 10000 VA Online LCD 19";4;2;40,00;947,27;1.516,26
PH 9360;S.A.I. Phasak Pro-Rack 6000 VA Online LCD 19";7;2;40,00;782,76;1.252,94
PH 7315;S.A.I. Phasak SIRIUS 1560VA Interactive;131;129;40,00;64,38;103,05
